id,type of property,subtype of property,locality,latitude,longitude,street,province,postalCode,price,type of sale,number of bedrooms,living area,livable area,fully equipped kitchen,furnished,open fire,terrace,terrace area,garden,garden area,total property area,total land area,number of facades,swimming pool,state of the building
10677619,HOUSE,HOUSE,Liege,50.6145454,5.5881509,Place Merlot 6,Liège,4031,179000.0,residential_sale,3,29,137.0,installed,False,False,True,16.0,True,43.0,137.0,145.0,2.0,False,good
10687316,HOUSE,HOUSE,Auderghem,50.8219349,4.4250123,122 RUE DE MONT-ST-PONT,Brussels,1160,850000.0,residential_sale,3,21,161.0,hyper_equipped,False,False,True,14.0,True,150.0,161.0,294.0,3.0,False,good
10673624,HOUSE,VILLA,Braine-l'Alleud Ophain-Bois-Seigneur-Isaac,50.6716076,4.3348745,122 RUE DE MONT-ST-PONT,Walloon Brabant,1421,529000.0,residential_sale,3,59,165.0,installed,False,False,True,20.0,True,800.0,165.0,1200.0,4.0,False,to_be_done_up
10673197,HOUSE,TOWN_HOUSE,Watermael-Boitsfort,50.8008462,4.3993777,Place Communale 8,Brussels,1170,749000.0,residential_sale,5,43,205.0,installed,False,False,True,14.0,True,152.0,205.0,220.0,2.0,False,to_be_done_up
10685123,HOUSE,HOUSE,LONZEE,50.5551691,4.7317541,Chaussee de Charleroi 59 B,Namur,5030,245000.0,residential_sale,3,81,144.0,semi_equipped,,True,True,12.0,True,200.0,144.0,400.0,3.0,,good
10687626,APARTMENT,APARTMENT,Anderlecht,50.8387177,4.2919474,,Brussels,1070,249000.0,residential_sale,2,0,90.0,usa_hyper_equipped,,False,True,5.0,,,90.0,0.0,2.0,False,as_new
10687524,APARTMENT,APARTMENT,Woluwe-Saint-Pierre,50.8177555,4.4262457,Bld. Brand Whitlock 108,Brussels,1150,380000.0,residential_sale,2,0,90.0,usa_hyper_equipped,False,False,True,6.0,,,90.0,0.0,2.0,False,good
10687526,APARTMENT,APARTMENT,Auderghem,50.8177555,4.4262457,Bld. Brand Whitlock 108,Brussels,1160,380000.0,residential_sale,2,0,90.0,usa_hyper_equipped,False,False,True,6.0,,,90.0,0.0,2.0,False,good
10687525,APARTMENT,APARTMENT,Watermael-Boitsfort,50.8177555,4.4262457,Bld. Brand Whitlock 108,Brussels,1170,380000.0,residential_sale,2,0,90.0,usa_hyper_equipped,False,False,True,6.0,,,90.0,0.0,2.0,False,good
10687298,APARTMENT,APARTMENT,Anderlecht,50.8294633,4.2969247,,Brussels,1070,170000.0,residential_sale,2,12,64.0,hyper_equipped,,False,True,2.0,,,64.0,0.0,2.0,False,good
10687355,APARTMENT,PENTHOUSE,BAASRODE,51.0355301,4.1685728,Zuidlaan 2,East Flanders,9200,249000.0,residential_sale,2,0,91.0,installed,,True,,,,,91.0,,3.0,,good
10686321,APARTMENT,APARTMENT,Oupeye,50.7077208,5.6513463,Rue de la Wallonie 2A,Liège,4680,219000.0,residential_sale,3,48,124.0,installed,False,False,True,21.0,True,46.0,124.0,,4.0,False,good
10686750,APARTMENT,APARTMENT,Ronse,50.7454759,3.5888874,Hoogstraat 5 B2,East Flanders,9600,219000.0,residential_sale,1,33,120.0,usa_installed,False,False,,,True,2000.0,120.0,,4.0,,good
10686062,APARTMENT,SERVICE_FLAT,Aalst,50.937318,4.0285337,Sint-Denijslaan 1,East Flanders,9300,245000.0,residential_sale,1,0,52.0,hyper_equipped,False,False,True,10.0,,,52.0,0.0,2.0,False,as_new
10685792,APARTMENT,APARTMENT,Bruxelles,50.8466574,4.3854033,,Brussels,1000,330000.0,residential_sale,2,30,90.0,installed,,False,True,8.0,,,90.0,0.0,2.0,False,good
10686225,APARTMENT,APARTMENT,Gooik,50.791771,4.0827987,Alsembergsesteenweg 660,Flemish Brabant,1755,359000.0,residential_sale,3,35,112.0,not_installed,,True,True,28.0,,,112.0,,2.0,,good
10685770,APARTMENT,PENTHOUSE,Sint-Agatha-Berchem,50.8619683,4.2844414,De Kleetlaan 4,Brussels,1082,425000.0,residential_sale,2,45,105.0,installed,,True,True,93.0,,,105.0,0.0,,False,as_new
10685235,APARTMENT,APARTMENT,Deurne,51.2307397,4.4642639,Plantin en Moretuslei 135A,Antwerp,2100,182500.0,residential_sale,2,33,85.0,semi_equipped,,True,,,,,85.0,,2.0,,good
10685243,APARTMENT,APARTMENT,Borgerhout,51.217263,4.4292927,Plantin en Moretuslei 135A,Antwerp,2140,183000.0,residential_sale,2,34,89.0,semi_equipped,,True,True,4.0,,,89.0,0.0,2.0,,good
10684496,APARTMENT,APARTMENT,Deurne,51.1932288,4.4460481,Plantin en Moretuslei 135A,Antwerp,2100,229000.0,residential_sale,2,32,88.0,installed,,True,True,3.0,,,88.0,0.0,2.0,,good
10684497,APARTMENT,APARTMENT,Berchem,51.1932288,4.4460481,Plantin en Moretuslei 135A,Antwerp,2600,229000.0,residential_sale,2,32,88.0,installed,,True,True,3.0,,,88.0,0.0,2.0,,good
10684481,APARTMENT,APARTMENT,Brussels City,50.85702,4.35173,Vismarkt 10 c,Brussels,1000,237500.0,residential_sale,1,28,54.0,usa_hyper_equipped,True,True,True,3.0,,,54.0,0.0,2.0,,good
10685242,APARTMENT,APARTMENT,Deurne,51.2099777,4.4621946,Plantin en Moretuslei 135A,Antwerp,2100,245000.0,residential_sale,2,38,106.0,installed,,True,True,6.0,,,106.0,,3.0,,just_renovated
10685232,APARTMENT,DUPLEX,Borgerhout,51.2135279,4.4407564,Plantin en Moretuslei 135A,Antwerp,2140,285000.0,residential_sale,3,45,123.0,installed,,True,,,,,123.0,,2.0,,just_renovated
10683975,APARTMENT,APARTMENT,Vilvoorde,50.9250377,4.4199683,Hoogstraat 5,Flemish Brabant,1800,295000.0,residential_sale,2,26,87.0,usa_hyper_equipped,False,False,True,20.0,,,87.0,,2.0,,as_new
10685244,APARTMENT,APARTMENT,Berchem,51.1857298,4.441582,Plantin en Moretuslei 135A,Antwerp,2600,399000.0,residential_sale,5,66,191.0,installed,,True,True,57.0,,,191.0,,4.0,,good
10685798,APARTMENT,APARTMENT,Uccle,50.8119638,4.352404,Avenue Baron Albert d'Huart 130,Brussels,1180,435000.0,residential_sale,2,0,95.0,hyper_equipped,False,False,True,3.0,,,95.0,0.0,2.0,False,as_new
10684307,APARTMENT,APARTMENT,Woluwe-Saint-Lambert,50.8544187,4.4291016,"Val des Seigneurs, 9a",Brussels,1200,499000.0,residential_sale,2,29,94.0,usa_hyper_equipped,False,False,True,28.0,,,94.0,0.0,2.0,False,as_new
10684378,APARTMENT,APARTMENT,Gent,51.0526239,3.7359957,Dampoortstraat 41,East Flanders,9000,625000.0,residential_sale,3,0,122.0,installed,False,False,True,15.0,,,122.0,,3.0,,good
10685490,APARTMENT,PENTHOUSE,Woluwe-Saint-Pierre,50.8315825,4.4375293,"Rue Abbé Cuypers (étage 1), 3 ",Brussels,1150,675000.0,residential_sale,2,65,130.0,hyper_equipped,False,False,True,30.0,,,130.0,0.0,2.0,False,as_new
10682835,APARTMENT,APARTMENT,Jette,50.867535,4.3336682,Avenue Charles Quint 515,Brussels,1090,209000.0,residential_sale,1,23,60.0,installed,False,False,True,3.0,,,60.0,0.0,2.0,,good
10681258,APARTMENT,APARTMENT,Uccle,50.8018713,4.3306286,Avenue Baron Albert d'Huart 130,Brussels,1180,380000.0,residential_sale,3,0,108.0,installed,False,False,True,17.0,,,108.0,0.0,3.0,False,to_be_done_up
10681984,APARTMENT,PENTHOUSE,Marche-en-Famenne,50.2294732,5.3346432,Rue Simon 46/2,Luxembourg,6900,385000.0,residential_sale,4,32,199.0,hyper_equipped,False,False,True,35.0,,,199.0,,3.0,False,to_be_done_up
10681832,APARTMENT,PENTHOUSE,Embourg,50.5985712,5.6188773,Rue Pierre Henvard 2,Liège,4053,399000.0,residential_sale,3,30,145.0,installed,,True,True,20.0,,,145.0,0.0,3.0,,good
10681830,APARTMENT,APARTMENT,Embourg,50.5985712,5.6188773,Rue Pierre Henvard 2,Liège,4053,399000.0,residential_sale,3,30,145.0,installed,,True,True,20.0,,,145.0,0.0,3.0,,good
10683650,HOUSE,HOUSE,Beyne-Heusay,50.6250977,5.6527913,Grand rue 191,Liège,4610,249000.0,residential_sale,3,11,115.0,installed,False,False,True,30.0,True,300.0,115.0,595.0,3.0,False,good
10685237,HOUSE,HOUSE,Merksem,51.2561693,4.4540408,Plantin en Moretuslei 135A,Antwerp,2170,279000.0,residential_sale,2,32,163.0,0,,True,,,True,145.0,163.0,215.0,2.0,,to_renovate
10683984,HOUSE,HOUSE,La Hulpe,50.7322706,4.4806697, Avenue de Mérode 16B,Walloon Brabant,1310,299000.0,residential_sale,3,18,165.0,semi_equipped,,False,True,,,,165.0,629.0,2.0,False,good
10686332,HOUSE,HOUSE,Céroux-Mousty,50.6601412,4.5523651,Avenue Fond Jean Rosy 17A,Walloon Brabant,1341,355000.0,residential_sale,2,41,99.0,0,,False,True,38.0,True,641.0,99.0,706.0,4.0,,good
10685236,HOUSE,HOUSE,Ekeren,51.2810376,4.4496336,Plantin en Moretuslei 135A,Antwerp,2180,389000.0,residential_sale,2,27,106.0,installed,,True,True,40.0,True,325.0,106.0,408.0,2.0,,as_new
10686158,HOUSE,EXCEPTIONAL_PROPERTY,Landen Laar,50.7847264,4.5102544,Chaussée de Tirlemont 15/1,Flemish Brabant,3400,650000.0,residential_sale,8,37,570.0,semi_equipped,False,False,True,,True,2500.0,570.0,7662.0,4.0,True,to_renovate
10684113,HOUSE,VILLA,Braine-l'Alleud,50.6061726,4.4494002,Chaussée de Tervuren 186,Walloon Brabant,1420,2295000.0,residential_sale,4,100,485.0,hyper_equipped,True,True,True,,True,3939.0,485.0,4189.0,4.0,True,just_renovated
10684099,HOUSE,VILLA,Lillois-Witterzée,50.64567,4.36712,Chaussée de Tervuren 186,Walloon Brabant,1428,2295000.0,residential_sale,4,100,485.0,hyper_equipped,True,True,True,,True,3939.0,485.0,4189.0,4.0,True,just_renovated
10682251,HOUSE,HOUSE,Aalst,50.948179,4.052757,Parklaan 63,East Flanders,9300,274000.0,residential_sale,3,31,183.0,semi_equipped,,True,True,33.0,True,95.0,183.0,188.0,2.0,,to_renovate
10683180,HOUSE,BUNGALOW,TIHANGE,50.5320159,5.2566035,Avenue des Ardennes 1/02,Liège,4500,319000.0,residential_sale,2,33,145.0,installed,,True,True,15.0,True,628.0,145.0,773.0,4.0,,good
10681899,HOUSE,HOUSE,Rixensart,50.703903,4.5257513,Rue de Namur 167,Walloon Brabant,1330,430000.0,residential_sale,3,37,103.0,semi_equipped,,False,True,,,,103.0,1166.0,4.0,False,to_renovate
10682327,HOUSE,VILLA,Waterloo,50.70069,4.40213,Chaussée de Tervuren 186,Walloon Brabant,1410,695000.0,residential_sale,5,42,252.0,hyper_equipped,False,True,True,40.0,True,450.0,252.0,786.0,4.0,,to_be_done_up
10671514,HOUSE,MIXED_USE_BUILDING,Ronse,50.7496811,3.5913078,Stationstraat 30,East Flanders,9600,295000.0,residential_sale,5,23,339.0,installed,False,False,,,,,339.0,160.0,2.0,False,to_be_done_up
10671574,HOUSE,HOUSE,Antwerp,51.1906614,4.3937869,Koninlijkelaan 42,Antwerp,2018,910000.0,residential_sale,5,0,310.0,usa_hyper_equipped,,False,True,18.0,True,131.0,310.0,242.0,2.0,,good
10679750,HOUSE,HOUSE,Sint-Pieters-Leeuw,50.7868236,4.2715663,Avenue Charles Quint 515,Flemish Brabant,1600,329000.0,residential_sale,3,0,135.0,installed,False,False,True,17.0,,,135.0,93.0,2.0,,good
10679768,HOUSE,HOUSE,Haaltert,50.8658665,3.9992955,Grote Markt 35,East Flanders,9450,359999.0,residential_sale,3,0,177.0,installed,,True,True,,,,177.0,455.0,3.0,,good
10680041,HOUSE,VILLA,Waterloo,50.7211,4.39014,Chaussée de Tervuren 186,Walloon Brabant,1410,380000.0,residential_sale,3,56,140.0,installed,False,False,True,,True,,140.0,1050.0,4.0,,to_renovate
10681263,HOUSE,BUNGALOW,Sprimont,50.4968255,5.6727616,Grand rue 191,Liège,4140,425000.0,residential_sale,4,13,220.0,usa_hyper_equipped,False,False,True,49.0,True,1500.0,220.0,2200.0,4.0,False,good
10678894,HOUSE,HOUSE,Schaerbeek,50.8577499,4.3998274,"Avenue des Cerisiers, 95",Brussels,1030,595000.0,residential_sale,4,26,175.0,usa_hyper_equipped,False,False,True,,True,30.0,175.0,1.0,2.0,False,as_new
10680513,HOUSE,EXCEPTIONAL_PROPERTY,Wetteren,50.9952847,3.8911078,Zuidlaan 72,East Flanders,9230,690000.0,residential_sale,7,35,405.0,installed,True,True,,,True,4534.0,405.0,4534.0,4.0,,to_be_done_up
10678805,HOUSE,MIXED_USE_BUILDING,Saint-Gilles,50.8343859,4.3396397,Avenue Louise 231,Brussels,1060,795000.0,residential_sale,6,0,300.0,installed,False,False,,,True,20.0,300.0,250.0,2.0,False,good
10669506,HOUSE,HOUSE,Anderlecht,50.8368249,4.2922302,Place Communale 8,Brussels,1070,399000.0,residential_sale,4,0,170.0,semi_equipped,False,False,True,10.0,True,140.0,170.0,210.0,2.0,False,to_be_done_up
10669505,HOUSE,VILLA,Wavre,50.6954978,4.5643585,Avenue Fond Jean Rosy 17A,Walloon Brabant,1300,435000.0,residential_sale,4,57,185.0,usa_installed,False,False,True,30.0,True,526.0,185.0,748.0,4.0,False,good
10669507,HOUSE,EXCEPTIONAL_PROPERTY,Anderlecht,50.8326834,4.2901773,Place Communale 8,Brussels,1070,960000.0,residential_sale,6,70,400.0,usa_hyper_equipped,False,False,True,40.0,True,290.0,400.0,1090.0,3.0,False,as_new
10678123,HOUSE,HOUSE,Bouge,50.4741435,4.8818533,Joseph Durieux 151,Namur,5004,210000.0,residential_sale,2,45,83.0,installed,,True,,,True,85.0,83.0,166.0,3.0,,to_be_done_up
